;clube;id_clube
0;Goiás;290
1;Coritiba;294
2;Grêmio Barueri;211
3;Botafogo;263
4;Figueirense;316
5;Palmeiras;275
6;Náutico;205
7;Santa Cruz;344
8;São Caetano;221
9;Brasiliense;203
10;Avaí;314
11;Atlético-RN;200
12;Grêmio Prudente;212
13;Fortaleza;356
14;Paraná;217
15;Guarani;213
16;América-MG;327
17;Fluminense;266
18;Criciuma;206
19;Santo André;220
20;Portuguesa;219
21;Sport;292
22;Cruzeiro;283
23;Juventude;216
24;Bahia;265
25;Vitória;287
26;Ipatinga;214
27;CSA;341
28;Vasco;267
29;Flamengo;262
30;Corinthians;264
31;Paysandu;218
32;Atlético-GO;373
33;Internacional;285
34;Chapecoense;315
35;Atlhetico-PR;293
36;Santos;277
37;São Paulo;276
38;Grêmio;284
39;Joinville;215
40;Ceará;354
41;Atlético-MG;282
42;Ponte Preta;303
