;clube;id_clube
11;Atlético-RN;200
9;Brasiliense;203
6;Náutico;205
18;Criciuma;288
2;Grêmio Barueri;211
12;Grêmio Prudente;212
15;Guarani;213
26;Ipatinga;214
39;Joinville;317
23;Juventude;216
14;Paraná;217
31;Paysandu;218
20;Portuguesa;219
19;Santo André;220
8;São Caetano;221
29;Flamengo;262
3;Botafogo;263
30;Corinthians;264
24;Bahia;265
17;Fluminense;266
28;Vasco;267
5;Palmeiras;275
37;São Paulo;276
36;Santos;277
41;Atlético-MG;282
22;Cruzeiro;283
38;Grêmio;284
33;Internacional;285
25;Vitória;287
0;Goiás;290
21;Sport;292
35;Atlhetico-PR;293
1;Coritiba;294
42;Ponte Preta;303
10;Avaí;314
34;Chapecoense;315
4;Figueirense;316
16;América-MG;327
27;CSA;341
7;Santa Cruz;344
40;Ceará;354
13;Fortaleza;356
32;Atlético-GO;373
